# Matter power spectrum P(k) at redshift z=1000
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008319394921e+00       7.582747128946e-04 
       1.012977755859e+00       7.517148566297e-04 
       1.017636116839e+00       7.452346374717e-04 
       1.022294477860e+00       7.388331161434e-04 
       1.026952838923e+00       7.325085957012e-04 
       1.031611200026e+00       7.262605373825e-04 
       1.036269561169e+00       7.200875588131e-04 
       1.040927922351e+00       7.139883061183e-04 
       1.045586283572e+00       7.079616135079e-04 
       1.050244644831e+00       7.020063031477e-04 
       1.054903006128e+00       6.961214046539e-04 
       1.059561367462e+00       6.903057844724e-04 
       1.064219728833e+00       6.845586101931e-04 
       1.068878090241e+00       6.788784365714e-04 
       1.073536451684e+00       6.732651762599e-04 
       1.078194813162e+00       6.677163131383e-04 
       1.082853174676e+00       6.622322313242e-04 
       1.087511536224e+00       6.568108728024e-04 
       1.092169897805e+00       6.514521526500e-04 
       1.096828259421e+00       6.461544445649e-04 
       1.101486621069e+00       6.409179305199e-04 
       1.106144982751e+00       6.357407475489e-04 
       1.110803344464e+00       6.306230073577e-04 
       1.115461706210e+00       6.255619342009e-04 
       1.120120067987e+00       6.205591579960e-04 
       1.124778429795e+00       6.156117286047e-04 
       1.129436791634e+00       6.107205168374e-04 
       1.134095153503e+00       6.058835301862e-04 
       1.138753515403e+00       6.010986218277e-04 
       1.143411877331e+00       5.963703931049e-04 
       1.148070239289e+00       5.916928009368e-04 
       1.152728601276e+00       5.870667053087e-04 
       1.157386963292e+00       5.824905688758e-04 
       1.162045325336e+00       5.779664408743e-04 
       1.166703687407e+00       5.734913876180e-04 
       1.171362049506e+00       5.690642763575e-04 
       1.176020411633e+00       5.646850346363e-04 
       1.180678773786e+00       5.603528873963e-04 
       1.185337135966e+00       5.560677850527e-04 
       1.189995498172e+00       5.518290408419e-04 
       1.194653860404e+00       5.476353730689e-04 
       1.199312222661e+00       5.434864089839e-04 
       1.203970584944e+00       5.393812219645e-04 
       1.208628947252e+00       5.353196396097e-04 
       1.213287309585e+00       5.313020030593e-04 
       1.217945671942e+00       5.273255602987e-04 
