# Matter power spectrum P(k) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.794417088389e-01       3.284425909242e-01 
       3.841000419653e-01       3.229926296065e-01 
       3.887583758729e-01       3.176160157380e-01 
       3.934167105336e-01       3.123219227125e-01 
       3.980750459209e-01       3.071211091353e-01 
       4.027333820095e-01       3.020254947678e-01 
       4.073917187751e-01       2.970452690275e-01 
       4.120500561947e-01       2.921898152827e-01 
       4.167083942462e-01       2.874663993027e-01 
       4.213667329086e-01       2.828794222960e-01 
       4.260250721616e-01       2.784284913246e-01 
       4.306834119860e-01       2.741106802244e-01 
       4.353417523635e-01       2.699184079300e-01 
       4.400000932762e-01       2.658407690293e-01 
       4.446584347073e-01       2.618661961811e-01 
       4.493167766407e-01       2.579821982857e-01 
       4.539751190607e-01       2.541778497333e-01 
       4.586334619525e-01       2.504437899221e-01 
       4.632918053017e-01       2.467730258945e-01 
       4.679501490947e-01       2.431601219378e-01 
       4.726084933182e-01       2.396021160741e-01 
       4.772668379596e-01       2.360971986197e-01 
       4.819251830066e-01       2.326457363378e-01 
       4.865835284477e-01       2.292493775840e-01 
       4.912418742715e-01       2.259112127249e-01 
       4.959002204672e-01       2.226351435138e-01 
       5.005585670243e-01       2.194248845429e-01 
       5.052169139329e-01       2.162834410522e-01 
       5.098752611832e-01       2.132127595264e-01 
       5.145336087659e-01       2.102130313537e-01 
       5.191919566721e-01       2.072831328260e-01 
       5.238503048930e-01       2.044209957717e-01 
       5.285086534203e-01       2.016235636690e-01 
       5.331670022460e-01       1.988883474344e-01 
       5.378253513622e-01       1.962110405751e-01 
       5.424837007614e-01       1.935881210132e-01 
       5.471420504365e-01       1.910157164355e-01 
       5.518004003803e-01       1.884897916353e-01 
       5.564587505860e-01       1.860069719316e-01 
       5.611171010472e-01       1.835642413087e-01 
       5.657754517575e-01       1.811598504316e-01 
       5.704338027108e-01       1.787929145059e-01 
       5.750921539011e-01       1.764633528018e-01 
       5.797505053227e-01       1.741716340330e-01 
       5.844088569701e-01       1.719186336053e-01 
       5.890672088378e-01       1.697046388452e-01 
       5.937255609207e-01       1.675301238374e-01 
       5.983839132137e-01       1.653951534905e-01 
       6.030422657120e-01       1.633000997145e-01 
       6.077006184108e-01       1.612447031423e-01 
       6.123589713054e-01       1.592287977566e-01 
       6.170173243915e-01       1.572517117206e-01 
       6.216756776648e-01       1.553127701638e-01 
       6.263340311210e-01       1.534102550742e-01 
       6.309923847560e-01       1.515425865947e-01 
       6.356507385660e-01       1.497078832266e-01 
       6.403090925471e-01       1.479044772390e-01 
       6.449674466955e-01       1.461310896299e-01 
       6.496258010077e-01       1.443866120008e-01 
       6.542841554801e-01       1.426702295063e-01 
       6.589425101094e-01       1.409812024696e-01 
       6.636008648922e-01       1.393187492832e-01 
       6.682592198254e-01       1.376823678128e-01 
       6.729175749057e-01       1.360711747640e-01 
       6.775759301301e-01       1.344850707620e-01 
       6.822342854956e-01       1.329241516917e-01 
       6.868926409995e-01       1.313877361765e-01 
       6.915509966388e-01       1.298762437977e-01 
       6.962093524109e-01       1.283896143960e-01 
       7.008677083131e-01       1.269275659379e-01 
       7.055260643427e-01       1.254898273344e-01 
       7.101844204974e-01       1.240757316673e-01 
       7.148427767746e-01       1.226847303822e-01 
       7.195011331720e-01       1.213162914132e-01 
       7.241594896871e-01       1.199700118544e-01 
       7.288178463179e-01       1.186454928548e-01 
       7.334762030620e-01       1.173421256391e-01 
       7.381345599173e-01       1.160592528143e-01 
       7.427929168816e-01       1.147961060526e-01 
       7.474512739531e-01       1.135521562161e-01 
       7.521096311296e-01       1.123266035729e-01 
       7.567679884092e-01       1.111189146993e-01 
       7.614263457900e-01       1.099287778575e-01 
       7.660847032701e-01       1.087559827076e-01 
       7.707430608479e-01       1.076003125474e-01 
       7.754014185214e-01       1.064616915003e-01 
       7.800597762890e-01       1.053398502280e-01 
       7.847181341489e-01       1.042345017287e-01 
       7.893764920996e-01       1.031453089250e-01 
       7.940348501395e-01       1.020721296153e-01 
       7.986932082669e-01       1.010147197301e-01 
       8.033515664804e-01       9.997301944074e-02 
       8.080099247785e-01       9.894686756873e-02 
       8.126682831597e-01       9.793598518875e-02 
       8.173266416225e-01       9.694010639574e-02 
       8.219850001656e-01       9.595866639605e-02 
       8.266433587877e-01       9.499125269281e-02 
       8.313017174873e-01       9.403748566664e-02 
       8.359600762633e-01       9.309706882009e-02 
       8.406184351142e-01       9.216979283876e-02 
       8.452767940389e-01       9.125523242951e-02 
       8.499351530362e-01       9.035387144651e-02 
       8.545935121049e-01       8.946472421966e-02 
       8.592518712438e-01       8.858773313257e-02 
       8.639102304517e-01       8.772270187535e-02 
       8.685685897276e-01       8.686930429361e-02 
       8.732269490704e-01       8.602741197632e-02 
       8.778853084789e-01       8.519690109244e-02 
       8.825436679522e-01       8.437770418131e-02 
       8.872020274892e-01       8.356973812891e-02 
       8.918603870890e-01       8.277271909219e-02 
       8.965187467505e-01       8.198653761799e-02 
       9.011771064728e-01       8.121088000391e-02 
       9.058354662549e-01       8.044550991732e-02 
       9.104938260960e-01       7.969023134363e-02 
       9.151521859951e-01       7.894498109930e-02 
       9.198105459513e-01       7.820958287739e-02 
       9.244689059638e-01       7.748394003762e-02 
       9.291272660318e-01       7.676784880417e-02 
       9.337856261543e-01       7.606119614365e-02 
       9.384439863306e-01       7.536353760032e-02 
       9.431023465599e-01       7.467488684621e-02 
       9.477607068414e-01       7.399484705585e-02 
       9.524190671743e-01       7.332348108051e-02 
       9.570774275579e-01       7.266064425632e-02 
       9.617357879914e-01       7.200625735902e-02 
       9.663941484742e-01       7.136024481466e-02 
       9.710525090054e-01       7.072236356570e-02 
       9.757108695845e-01       7.009245410174e-02 
       9.803692302106e-01       6.947039046043e-02 
       9.850275908833e-01       6.885596669055e-02 
       9.896859516017e-01       6.824914075017e-02 
       9.943443123653e-01       6.764990032186e-02 
       9.990026731734e-01       6.705810400929e-02 
       1.003661034025e+00       6.647367797640e-02 
       1.008319394921e+00       6.589644062797e-02 
       1.012977755859e+00       6.532630834477e-02 
       1.017636116839e+00       6.476305842900e-02 
       1.022294477860e+00       6.420658344824e-02 
       1.026952838923e+00       6.365674877504e-02 
       1.031611200026e+00       6.311355082064e-02 
       1.036269561169e+00       6.257691275774e-02 
       1.040927922351e+00       6.204673782161e-02 
       1.045586283572e+00       6.152290989514e-02 
       1.050244644831e+00       6.100528520555e-02 
       1.054903006128e+00       6.049373700167e-02 
       1.059561367462e+00       5.998814614187e-02 
       1.064219728833e+00       5.948845440561e-02 
       1.068878090241e+00       5.899457707516e-02 
       1.073536451684e+00       5.850655255658e-02 
       1.078194813162e+00       5.802418745686e-02 
       1.082853174676e+00       5.754751005870e-02 
       1.087511536224e+00       5.707630701479e-02 
       1.092169897805e+00       5.661053029447e-02 
       1.096828259421e+00       5.615001375684e-02 
       1.101486621069e+00       5.569477774696e-02 
       1.106144982751e+00       5.524468977324e-02 
       1.110803344464e+00       5.479979758584e-02 
       1.115461706210e+00       5.435988279948e-02 
       1.120120067987e+00       5.392508408863e-02 
       1.124778429795e+00       5.349511510004e-02 
       1.129436791634e+00       5.307001372192e-02 
       1.134095153503e+00       5.264957917251e-02 
       1.138753515403e+00       5.223362416798e-02 
       1.143411877331e+00       5.182257427775e-02 
       1.148070239289e+00       5.141593853393e-02 
       1.152728601276e+00       5.101381841819e-02 
       1.157386963292e+00       5.061608345509e-02 
       1.162045325336e+00       5.022289233679e-02 
       1.166703687407e+00       4.983395709284e-02 
       1.171362049506e+00       4.944915415596e-02 
       1.176020411633e+00       4.906847318840e-02 
       1.180678773786e+00       4.869186621605e-02 
       1.185337135966e+00       4.831935978935e-02 
       1.189995498172e+00       4.795091970928e-02 
       1.194653860404e+00       4.758644048571e-02 
       1.199312222661e+00       4.722587340903e-02 
       1.203970584944e+00       4.686910785284e-02 
       1.208628947252e+00       4.651610371765e-02 
       1.213287309585e+00       4.616688240665e-02 
       1.217945671942e+00       4.582121788911e-02 
